Date,Time,Marondera,Gweru,Mutare,Masvingo,Chinhoyi,Psi,Bridh,Mpilo,NMRL,Bindura,Kadoma,VicFalls,Gwanda,Lupane
26/03/20 , 01:30 , 0.303 , 0.482 , 0.450 , 13.1 , 0.383 , 0.313 , 11.9 , 14.4 , 0.406 , 0.356 , 0.308 , 0.460 , 0.356 , 0.294 , 0.460
26/03/20 , 01:33 , 0.322 , 0.480 , 0.338 , 10.4 , 0.450 , 0.353 , 13.4 , 10.7 , 0.470 , 0.388 , 0.450 , 0.404 , 0.388 , 0.265 , 0.404
26/03/20 , 01:36 , 0.246 , 0.557 , 0.530 , 9.44 , 0.399 , 0.567 , 10.6 , 10.4 , 0.487 , 0.266 , 0.392 , 0.360 , 0.266 , 0.343 , 0.360
26/03/20 , 01:39 , 0.343 , 0.501 , 0.424 , 11.0 , 0.528 , 0.343 , 9.79 , 12.7 , 0.393 , 0.248 , 0.343 , 0.470 , 0.248 , 0.293 , 0.470
26/03/20 , 01:42 , 0.397 , 0.538 , 0.531 , 10.8 , 0.509 , 0.326 , 10.4 , 11.5 , 0.545 , 0.290 , 0.368 , 0.393 , 0.290 , 0.330 , 0.393
26/03/20 , 01:45 , 0.323 , 0.516 , 0.335 , 14.2 , 0.282 , 0.334 , 13.4 , 11.9 , 0.433 , 0.383 , 0.438 , 0.334 , 0.383 , 0.297 , 0.334
26/03/20 , 01:48 , 0.340 , 0.457 , 0.314 , 12.4 , 0.411 , 0.427 , 118 , 12.8 , 0.379 , 0.357 , 0.270 , 0.593 , 0.357 , 0.323 , 0.593
26/03/20 , 01:51 , 0.329 , 4.43 , 0.310 , 12.0 , 0.482 , 0.299 , 9.52 , 14.0 , 0.427 , 0.317 , 0.427 , 0.474 , 0.317 , 0.286 , 0.474
26/03/20 , 01:54 , 0.350 , 0.436 , 0.299 , 14.3 , 0.485 , 0.325 , 10.3 , 10.9 , 0.471 , 0.373 , 0.360 , 0.428 , 0.373 , 0.426 , 0.428
26/03/20 , 01:57 , 0.355 , 0.451 , 0.353 , 10.1 , 0.343 , 0.258 , 15.6 , 13.6 , 0.427 , 0.317 , 0.408 , 0.403 , 0.317 , 0.256 , 0.403
26/03/20 , 02:00 , 0.340 , 0.261 , 0.226 , 11.0 , 0.221 , 0.218 , 12.1 , 10.6 , 0.218 , 0.318 , 0.431 , 0.229 , 0.318 , 0.202 , 0.229
26/03/20 , 02:03 , 0.344 , 0.338 , 0.278 , 10.5 , 0.300 , 0.270 , 10.8 , 11.6 , 0.342 , 0.290 , 0.371 , 0.326 , 0.290 , 0.276 , 0.326
26/03/20 , 02:06 , 0.440 , 0.526 , 0.404 , 12.9 , 0.454 , 0.378 , 9.24 , 12.5 , 0.439 , 0.324 , 0.291 , 0.512 , 0.324 , 0.299 , 0.512
26/03/20 , 02:09 , 0.393 , 0.312 , 0.398 , 13.1 , 0.319 , 0.283 , 9.88 , 12.4 , 0.330 , 0.310 , 0.343 , 0.382 , 0.310 , 0.256 , 0.382
26/03/20 , 02:12 , 0.330 , 0.505 , 0.373 , 13.9 , 0.389 , 0.368 , 11.5 , 13.8 , 0.473 , 0.353 , 0.247 , 0.473 , 0.353 , 0.289 , 0.473
26/03/20 , 02:15 , 0.290 , 0.543 , 1.28 , 10.0 , 0.369 , 0.255 , 8.20 , 14.2 , 0.427 , 0.337 , 0.374 , 0.499 , 0.337 , 0.318 , 0.499
26/03/20 , 02:18 , 0.364 , 0.423 , 0.395 , 10.4 , 0.271 , 0.384 , 13.0 , 12.1 , 0.281 , 0.456 , 0.360 , 0.384 , 0.456 , 0.264 , 0.384
26/03/20 , 02:21 , 0.351 , 0.544 , 0.441 , 13.0 , 0.443 , 0.300 , 9.95 , 11.5 , 0.541 , 0.293 , 0.430 , 0.439 , 0.293 , 0.290 , 0.439
26/03/20 , 02:24 , 0.384 , 0.456 , 0.336 , 13.1 , 0.293 , 0.404 , 9.83 , 14.8 , 0.319 , 0.305 , 0.300 , 0.405 , 0.305 , 0.262 , 0.405
26/03/20 , 02:27 , 0.331 , 0.504 , 0.319 , 10.9 , 0.339 , 0.371 , 8.36 , 13.0 , 0.465 , 0.317 , 0.320 , 0.452 , 0.317 , 0.289 , 0.452
26/03/20 , 02:30 , 0.334 , 0.548 , 0.412 , 13.3 , 0.403 , 0.326 , 8.20 , 10.0 , 0.522 , 1.14 , 0.274 , 0.559 , 1.14 , 0.312 , 0.559
26/03/20 , 02:33 , 0.351 , 0.379 , 0.344 , 15.8 , 0.347 , 0.414 , 9.01 , 10.9 , 0.344 , 0.369 , 0.303 , 0.345 , 0.369 , 0.230 , 0.345
26/03/20 , 02:36 , 0.409 , 0.419 , 0.380 , 13.9 , 0.285 , 0.384 , 10.3 , 11.9 , 0.275 , 0.344 , 0.365 , 0.391 , 0.344 , 0.265 , 0.391
26/03/20 , 02:39 , 0.384 , 0.526 , 0.369 , 11.0 , 0.398 , 0.333 , 10.2 , 10.9 , 0.458 , 0.384 , 0.415 , 0.474 , 0.384 , 0.306 , 0.474
26/03/20 , 02:42 , 0.324 , 0.412 , 0.343 , 12.0 , 0.386 , 0.245 , 9.29 , 15.7 , 0.357 , 0.351 , 0.254 , 0.454 , 0.351 , 0.346 , 0.454
26/03/20 , 02:45 , 0.443 , 0.433 , 0.404 , 13.2 , 0.333 , 0.475 , 10.6 , 30.4 , 0.441 , 0.342 , 0.345 , 0.392 , 0.342 , 0.294 , 0.392
26/03/20 , 02:48 , 0.345 , 0.372 , 0.255 , 13.3 , 0.271 , 0.315 , 11.7 , 13.1 , 0.274 , 0.310 , 0.387 , 0.339 , 0.310 , 0.258 , 0.339
26/03/20 , 02:51 , 0.393 , 0.463 , 0.401 , 13.8 , 0.299 , 0.289 , 11.7 , 11.3 , 0.293 , 0.330 , 0.343 , 0.404 , 0.330 , 0.288 , 0.404
26/03/20 , 02:54 , 0.317 , 0.467 , 0.320 , 11.3 , 0.415 , 0.414 , 9.44 , 13.2 , 0.456 , 0.391 , 0.358 , 0.365 , 0.391 , 0.302 , 0.365
26/03/20 , 02:57 , 0.356 , 0.376 , 0.333 , 15.2 , 0.303 , 0.346 , 12.4 , 14.0 , 0.355 , 0.391 , 0.429 , 0.281 , 0.391 , 0.260 , 0.281
26/03/20 , 03:00 , 0.356 , 0.465 , 0.503 , 11.0 , 0.458 , 0.507 , 13.9 , 13.3 , 0.526 , 0.358 , 0.305 , 0.491 , 0.358 , 0.292 , 0.491
26/03/20 , 03:03 , 0.463 , 0.421 , 0.356 , 12.4 , 0.361 , 0.404 , 10.7 , 11.6 , 0.431 , 0.484 , 0.345 , 0.464 , 0.484 , 0.353 , 0.464
26/03/20 , 03:06 , 0.368 , 0.555 , 0.463 , 12.7 , 0.409 , 0.455 , 10.2 , 13.7 , 0.409 , 0.354 , 0.306 , 0.498 , 0.354 , 0.300 , 0.498
26/03/20 , 03:09 , 0.631 , 0.569 , 0.395 , 11.9 , 0.398 , 0.414 , 10.6 , 12.2 , 0.464 , 0.361 , 0.347 , 0.452 , 0.361 , 0.289 , 0.452
26/03/20 , 03:12 , 0.433 , 0.572 , 0.451 , 10.2 , 0.341 , 0.400 , 10.3 , 15.1 , 0.411 , 0.281 , 0.377 , 0.396 , 0.281 , 0.244 , 0.396
26/03/20 , 03:15 , 43.6 , 0.569 , 0.408 , 12.9 , 0.359 , 0.422 , 10.4 , 14.5 , 0.415 , 0.334 , 0.516 , 0.364 , 0.334 , 0.338 , 0.364
26/03/20 , 03:18 , 0.316 , 0.594 , 0.392 , 9.11 , 0.464 , 0.416 , 13.2 , 10.7 , 0.511 , 0.286 , 0.334 , 0.506 , 0.286 , 0.298 , 0.506
26/03/20 , 03:21 , 0.342 , 0.451 , 0.455 , 9.44 , 0.323 , 0.295 , 11.5 , 14.3 , 0.409 , 0.400 , 0.313 , 0.455 , 0.400 , 0.298 , 0.455
26/03/20 , 03:24 , 0.381 , 0.400 , 0.346 , 10.4 , 0.276 , 0.338 , 11.4 , 13.2 , 0.280 , 0.341 , 0.371 , 0.336 , 0.341 , 0.258 , 0.336
26/03/20 , 03:27 , 0.335 , 0.444 , 0.271 , 10.9 , 0.359 , 0.312 , 8.52 , 10.8 , 0.378 , 0.291 , 0.289 , 0.376 , 0.291 , 0.230 , 0.376
26/03/20 , 03:30 , 0.303 , 0.559 , 0.434 , 11.7 , 0.405 , 0.412 , 10.4 , 11.7 , 0.419 , 0.321 , 0.327 , 0.450 , 0.321 , 0.295 , 0.450
26/03/20 , 03:33 , 0.333 , 0.500 , 0.435 , 14.4 , 0.385 , 0.525 , 12.1 , 10.5 , 0.528 , 0.295 , 0.316 , 0.523 , 0.295 , 0.303 , 0.523
26/03/20 , 03:36 , 0.311 , 0.386 , 0.373 , 9.63 , 0.389 , 0.387 , 11.3 , 13.4 , 0.408 , 0.289 , 0.355 , 0.411 , 0.289 , 0.298 , 0.411
26/03/20 , 03:39 , 0.311 , 0.490 , 0.346 , 12.9 , 0.416 , 0.367 , 9.02 , 13.0 , 0.483 , 0.344 , 0.301 , 0.437 , 0.344 , 0.383 , 0.437
26/03/20 , 03:42 , 0.312 , 0.508 , 0.279 , 15.9 , 0.414 , 0.413 , 13.0 , 11.7 , 0.421 , 0.357 , 0.335 , 0.421 , 0.357 , 0.275 , 0.421
26/03/20 , 03:45 , 0.340 , 0.406 , 0.368 , 14.8 , 0.305 , 0.358 , 12.2 , 13.3 , 0.315 , 0.405 , 0.350 , 0.399 , 0.405 , 0.301 , 0.399
26/03/20 , 03:48 , 0.329 , 0.375 , 0.323 , 10.1 , 0.346 , 0.275 , 12.2 , 11.6 , 0.358 , 0.371 , 0.336 , 0.345 , 0.371 , 0.334 , 0.345
26/03/20 , 03:51 , 0.424 , 0.424 , 0.315 , 10.9 , 0.275 , 0.266 , 11.2 , 11.8 , 0.287 , 0.321 , 0.301 , 0.387 , 0.321 , 0.273 , 0.387
26/03/20 , 03:54 , 0.527 , 0.348 , 0.354 , 12.4 , 0.344 , 0.433 , 11.9 , 12.3 , 0.361 , 0.355 , 0.486 , 0.332 , 0.355 , 0.268 , 0.332
26/03/20 , 03:57 , 0.318 , 0.506 , 0.501 , 14.3 , 0.401 , 0.506 , 9.69 , 12.8 , 0.339 , 0.369 , 0.396 , 0.385 , 0.369 , 0.242 , 0.385
26/03/20 , 04:00 , 0.328 , 0.577 , 0.539 , 11.8 , 0.414 , 0.451 , 8.67 , 10.7 , 0.556 , 23.0 , 0.358 , 0.522 , 23.0 , 0.304 , 0.522
26/03/20 , 04:03 , 0.320 , 0.545 , 0.309 , 13.5 , 0.394 , 0.506 , 13.1 , 15.3 , 0.363 , 0.316 , 0.386 , 0.444 , 0.316 , 0.294 , 0.444
26/03/20 , 04:06 , 0.327 , 0.556 , 0.457 , 11.2 , 0.289 , 0.429 , 9.48 , 14.9 , 0.466 , 0.353 , 0.420 , 0.503 , 0.353 , 0.306 , 0.503
26/03/20 , 04:09 , 0.346 , 0.435 , 0.270 , 10.6 , 0.270 , 0.261 , 52.7 , 12.5 , 0.332 , 0.344 , 0.319 , 0.386 , 0.344 , 0.273 , 0.386
26/03/20 , 04:12 , 0.343 , 0.495 , 0.473 , 11.1 , 0.392 , 0.420 , 11.0 , 12.3 , 0.492 , 0.232 , 0.452 , 0.443 , 0.232 , 0.292 , 0.443
26/03/20 , 04:15 , 0.345 , 0.492 , 0.391 , 12.5 , 0.393 , 0.366 , 11.9 , 12.4 , 0.399 , 0.308 , 0.879 , 0.399 , 0.308 , 0.289 , 0.399
26/03/20 , 04:18 , 0.346 , 0.548 , 0.349 , 11.6 , 0.440 , 0.303 , 11.2 , 15.6 , 0.403 , 0.402 , 0.357 , 0.446 , 0.402 , 0.288 , 0.446
26/03/20 , 04:21 , 0.335 , 0.443 , 0.385 , 8.97 , 0.326 , 0.300 , 11.6 , 13.0 , 0.399 , 0.349 , 0.315 , 0.380 , 0.349 , 0.289 , 0.380
26/03/20 , 04:24 , 0.322 , 0.489 , 0.273 , 13.9 , 0.424 , 0.371 , 9.21 , 13.8 , 0.422 , 0.321 , 0.443 , 0.401 , 0.321 , 0.305 , 0.401
26/03/20 , 04:27 , 0.295 , 0.431 , 0.276 , 13.8 , 0.277 , 0.284 , 9.50 , 11.2 , 0.367 , 0.329 , 0.287 , 0.471 , 0.329 , 0.330 , 0.471
